Node 0, start at 842, anchor: 11
Node 1, start at 130, anchor: 5
Node 2, start at 468, anchor: 5
Node 3, start at 976, anchor: 7
Node 4, start at 31, anchor: 5
Node 5, start at 292, anchor: 11
Node 6, start at 885, anchor: 19
Node 7, start at 865, anchor: 19
Node 8, start at 580, anchor: 19
Node 9, start at 35, anchor: 13
Node 10, start at 651, anchor: 7
Node 11, start at 5, anchor: 7
Node 12, start at 109, anchor: 7
Node 13, start at 51, anchor: 5
Node 14, start at 342, anchor: 3
Node 15, start at 360, anchor: 13
Node 16, start at 176, anchor: 5
Node 17, start at 507, anchor: 5
Node 18, start at 246, anchor: 7
Node 19, start at 546, anchor: 5
Node 20, start at 234, anchor: 11
Node 21, start at 738, anchor: 11
Node 22, start at 122, anchor: 5
Node 23, start at 823, anchor: 11
Node 24, start at 907, anchor: 7
Node 25, start at 915, anchor: 7
Node 26, start at 56, anchor: 3
Node 27, start at 182, anchor: 13
Node 28, start at 684, anchor: 5
Node 29, start at 91, anchor: 5
Node 30, start at 145, anchor: 11
Node 31, start at 821, anchor: 5
Node 32, start at 709, anchor: 11
Node 33, start at 171, anchor: 5
Node 34, start at 278, anchor: 7
Node 35, start at 108, anchor: 7
Node 36, start at 300, anchor: 5
Node 37, start at 333, anchor: 13
Node 38, start at 646, anchor: 3
Node 39, start at 870, anchor: 5
Node 40, start at 349, anchor: 13
Node 41, start at 567, anchor: 3
Node 42, start at 392, anchor: 5
Node 43, start at 875, anchor: 3
Node 44, start at 279, anchor: 13
Node 45, start at 674, anchor: 7
Node 46, start at 232, anchor: 3
Node 47, start at 91, anchor: 5
Node 48, start at 522, anchor: 11
Node 49, start at 77, anchor: 7
Node 50, start at 426, anchor: 19
Node 51, start at 248, anchor: 11
Node 52, start at 601, anchor: 3
Node 53, start at 352, anchor: 7
Node 54, start at 600, anchor: 11
Node 55, start at 257, anchor: 7
Node 56, start at 768, anchor: 5
Node 57, start at 869, anchor: 5
Node 58, start at 798, anchor: 11
Node 59, start at 68, anchor: 5
Node 60, start at 322, anchor: 7
Node 61, start at 83, anchor: 3
Node 62, start at 436, anchor: 7
Node 63, start at 141, anchor: 19
Node 64, start at 975, anchor: 19
Node 65, start at 209, anchor: 11
Node 66, start at 564, anchor: 5
Node 67, start at 323, anchor: 5
Node 68, start at 857, anchor: 7
Node 69, start at 231, anchor: 7
Node 70, start at 973, anchor: 5
Node 71, start at 261, anchor: 3
Node 72, start at 310, anchor: 3
Node 73, start at 748, anchor: 11
Node 74, start at 399, anchor: 19
Node 75, start at 792, anchor: 5
Node 76, start at 557, anchor: 5
Node 77, start at 334, anchor: 7
Node 78, start at 39, anchor: 11
Node 79, start at 855, anchor: 5
Node 80, start at 123, anchor: 3
Node 81, start at 591, anchor: 19
Node 82, start at 686, anchor: 7
Node 83, start at 436, anchor: 7
Node 84, start at 837, anchor: 11
Node 85, start at 758, anchor: 5
Node 86, start at 258, anchor: 7
Node 87, start at 862, anchor: 5
Node 88, start at 389, anchor: 5
Node 89, start at 309, anchor: 13
Node 90, start at 991, anchor: 7
Node 91, start at 523, anchor: 13
Node 92, start at 765, anchor: 19
Node 93, start at 264, anchor: 5
Node 94, start at 352, anchor: 13
Node 95, start at 572, anchor: 19
Node 96, start at 944, anchor: 7
Node 97, start at 682, anchor: 11
Node 98, start at 734, anchor: 5
Node 99, start at 390, anchor: 5
Node 0, start at 842, anchor: 7
Node 1, start at 130, anchor: 11
Node 2, start at 468, anchor: 11
Node 3, start at 976, anchor: 7
Node 4, start at 31, anchor: 11
Node 5, start at 292, anchor: 7
Node 6, start at 885, anchor: 7
Node 7, start at 865, anchor: 7
Node 8, start at 580, anchor: 7
Node 9, start at 35, anchor: 7
Node 10, start at 651, anchor: 7
Node 11, start at 5, anchor: 7
Node 12, start at 109, anchor: 7
Node 13, start at 51, anchor: 11
Node 14, start at 342, anchor: 13
Node 15, start at 360, anchor: 7
Node 16, start at 176, anchor: 11
Node 17, start at 507, anchor: 11
Node 18, start at 246, anchor: 7
Node 19, start at 546, anchor: 11
Node 20, start at 234, anchor: 7
Node 21, start at 738, anchor: 7
Node 22, start at 122, anchor: 11
Node 23, start at 823, anchor: 7
Node 24, start at 907, anchor: 7
Node 25, start at 915, anchor: 7
Node 26, start at 56, anchor: 13
Node 27, start at 182, anchor: 7
Node 28, start at 684, anchor: 11
Node 29, start at 91, anchor: 11
Node 30, start at 145, anchor: 7
